model,k,folds,users_mean,cold_products_mean,precision_mean,precision_std,recall_mean,recall_std,ndcg_mean,ndcg_std,coverage_mean
BM25 Ingredient,5,5,45226.0,444.8,0.05017379325049215,0.00904841075972934,0.158342062961328,0.02002854970178035,0.1299265212480337,0.019314510622914248,0.9837942093601626
BM25 Ingredient,10,5,45226.0,444.8,0.03184194298680616,0.004857450570884155,0.19510136470066788,0.02118925569433271,0.14271566786794007,0.019000118586666562,0.9883113034515878
BM25 Ingredient,20,5,45226.0,444.8,0.01984094485931462,0.0025643989386696857,0.23466103100542424,0.021469459009395883,0.15415004536169216,0.01862139279412138,0.989656608488168
Binary Ingredient Cosine,5,5,45226.0,444.8,0.04118587055311069,0.00594095469904201,0.13587516223249976,0.016534274790243414,0.11199148248925431,0.014616685273287616,0.9806578372997853
Binary Ingredient Cosine,10,5,45226.0,444.8,0.02631126251897232,0.003271796876317155,0.16784404070893139,0.017407348538732787,0.12326785232099749,0.014776181295513162,0.983357641084447
Binary Ingredient Cosine,20,5,45226.0,444.8,0.01678434720235521,0.001848762257234147,0.20674086211901113,0.01933624074278707,0.13448260932738246,0.015103844222191073,0.9869454526292134
Feature-aware BPR,5,5,45226.0,444.8,0.020250861453112105,0.006499734359168626,0.05800290358454456,0.013720189240111366,0.045852366968202614,0.013223454547945294,0.7246813209539138
Feature-aware BPR,10,5,45226.0,444.8,0.016243879832215275,0.004669720340315236,0.08724184966496225,0.018364046439904413,0.056196606319211306,0.014492916265814738,0.8895653486750865
Feature-aware BPR,20,5,45226.0,444.8,0.012175863386574618,0.002924548279298754,0.12999619620682795,0.024642000693622986,0.06837003720739399,0.01605743597053086,0.9654486156958269
Ingredient Jaccard,5,5,45226.0,444.8,0.03370244719275542,0.006496874399321259,0.11653303900927395,0.01757022464225259,0.09639857932164608,0.018385995221101792,0.9761478343991886
Ingredient Jaccard,10,5,45226.0,444.8,0.02145517781327877,0.00363741240374699,0.14362183005386742,0.017636971084071463,0.10599575266935672,0.018241338922554917,0.98244346999738
Ingredient Jaccard,20,5,45226.0,444.8,0.013973244148464781,0.0021773935026561525,0.17902946889977464,0.021520697476415853,0.11619264074429073,0.019113000507659395,0.9865019132881285
Popularity,5,5,45226.0,444.8,0.004330420738246622,0.0024201255295295517,0.009045474858242612,0.004861779227895743,0.006887096759280935,0.0032555830827841904,0.011242442698085511
Popularity,10,5,45226.0,444.8,0.0039873596164955736,0.001337657295526744,0.018070735125394376,0.004651257995330998,0.009968056701396643,0.002961846310543519,0.022484885396171023
Popularity,20,5,45226.0,444.8,0.003367134036441093,0.0012120452775576515,0.03268202062418073,0.013729834566246586,0.014046233365405914,0.004834208460631556,0.044969770792342045
Random,5,5,45226.0,444.8,0.004163399111246131,0.0002401868870747716,0.011010671131440303,0.00013853370268812463,0.007734045442923674,8.19380054335459e-05,1.0
Random,10,5,45226.0,444.8,0.004222922189476867,0.0003096549561455293,0.022379141986940503,0.000835626643803036,0.011800622287337081,0.0003428929521415628,1.0
Random,20,5,45226.0,444.8,0.00425825246303015,0.0002503368541578375,0.04493384366302614,0.0007819464590672594,0.01832911982321212,0.0003784062793367526,1.0
TF-IDF Ingredient,5,5,45226.0,444.8,0.050341993605830436,0.00807600949547409,0.16044771782713965,0.01963037212838056,0.13064610699668863,0.019243650192975234,0.9896584023606968
TF-IDF Ingredient,10,5,45226.0,444.8,0.03159172202849787,0.004369884581894527,0.19478102236905265,0.020736836343699435,0.14263771223394364,0.019326490650301006,0.9896584023606968
TF-IDF Ingredient,20,5,45226.0,444.8,0.01960045523203326,0.0023639666907270453,0.2341221221310788,0.02189669711167927,0.15397857922224056,0.019326442747454618,0.9896584023606968
