fold,model,k,users,cold_products,train_products,precision,recall,ndcg,catalog_coverage,all_cold_interactions_removed_from_training,formulation_group_isolated,candidate_policy
0,Random,5,49031,453,1771,0.004234056005384349,0.010877068313466784,0.007710023503558191,1.0,True,True,all unseen products in held-out fold
0,Random,10,49031,453,1771,0.0042462931614692745,0.021602679901569614,0.011653003684176419,1.0,True,True,all unseen products in held-out fold
0,Random,20,49031,453,1771,0.0043033998898655956,0.04409808656299337,0.018246402032168,1.0,True,True,all unseen products in held-out fold
0,Popularity,5,49031,453,1771,0.007554404356427566,0.015032276483253806,0.010963834005052128,0.011037527593818985,True,True,all unseen products in held-out fold
0,Popularity,10,49031,453,1771,0.006224633395198955,0.025610500501633958,0.014846893974418693,0.02207505518763797,True,True,all unseen products in held-out fold
0,Popularity,20,49031,453,1771,0.005028451387897453,0.05184636887644559,0.021806684970934357,0.04415011037527594,True,True,all unseen products in held-out fold
0,Binary Ingredient Cosine,5,49031,453,1771,0.041190267381860456,0.13538777343945022,0.114792206116946,0.9845474613686535,True,True,all unseen products in held-out fold
0,Binary Ingredient Cosine,10,49031,453,1771,0.026795292773959336,0.16943955865834734,0.12713748829797758,0.9845474613686535,True,True,all unseen products in held-out fold
0,Binary Ingredient Cosine,20,49031,453,1771,0.017084089657563584,0.20874554354227143,0.13858266600289273,0.9889624724061811,True,True,all unseen products in held-out fold
0,Ingredient Jaccard,5,49031,453,1771,0.034745365177132836,0.12040813155082698,0.10134642236103876,0.9823399558498896,True,True,all unseen products in held-out fold
0,Ingredient Jaccard,10,49031,453,1771,0.02201464379678163,0.1481913757994953,0.11130821275172201,0.9845474613686535,True,True,all unseen products in held-out fold
0,Ingredient Jaccard,20,49031,453,1771,0.014717219718137504,0.1888003245675652,0.12308088698423392,0.9867549668874173,True,True,all unseen products in held-out fold
0,BM25 Ingredient,5,49031,453,1771,0.053745589524994385,0.16909478213903162,0.1400596768329158,0.9911699779249448,True,True,all unseen products in held-out fold
0,BM25 Ingredient,10,49031,453,1771,0.033360527013522066,0.20453307091930092,0.1528819838762036,0.9911699779249448,True,True,all unseen products in held-out fold
0,BM25 Ingredient,20,49031,453,1771,0.02022190043033999,0.2400842238173788,0.16335661304791974,0.9911699779249448,True,True,all unseen products in held-out fold
0,TF-IDF Ingredient,5,49031,453,1771,0.05331321000999368,0.1705721747639327,0.1389253245682269,0.9889624724061811,True,True,all unseen products in held-out fold
0,TF-IDF Ingredient,10,49031,453,1771,0.032636495278497275,0.20205499789658674,0.15032693559833404,0.9889624724061811,True,True,all unseen products in held-out fold
0,TF-IDF Ingredient,20,49031,453,1771,0.019765046603169426,0.236698803664651,0.16056312306327908,0.9889624724061811,True,True,all unseen products in held-out fold
1,Random,5,41802,438,1786,0.004042868762260179,0.010967656422140691,0.007747757191403672,1.0,True,True,all unseen products in held-out fold
1,Random,10,41802,438,1786,0.004004593081670734,0.021658066664229796,0.011468039482706196,1.0,True,True,all unseen products in held-out fold
1,Random,20,41802,438,1786,0.004151715228936415,0.04501039882067109,0.0181273249992539,1.0,True,True,all unseen products in held-out fold
1,Popularity,5,41802,438,1786,0.0017654657671881731,0.002674145527084119,0.0029960720208120285,0.01141552511415525,True,True,all unseen products in held-out fold
1,Popularity,10,41802,438,1786,0.002657767570929621,0.014784696258399975,0.006826128403847635,0.0228310502283105,True,True,all unseen products in held-out fold
1,Popularity,20,41802,438,1786,0.0026039423951007127,0.0270424379969343,0.010202551959526884,0.045662100456621,True,True,all unseen products in held-out fold
1,Binary Ingredient Cosine,5,41802,438,1786,0.04234247165207407,0.14022161113880283,0.11564865355856396,0.9817351598173516,True,True,all unseen products in held-out fold
1,Binary Ingredient Cosine,10,41802,438,1786,0.027247500119611506,0.1746653211152788,0.12678058649198506,0.9840182648401826,True,True,all unseen products in held-out fold
1,Binary Ingredient Cosine,20,41802,438,1786,0.017726424572986937,0.21867520744663912,0.1391346382215596,0.9840182648401826,True,True,all unseen products in held-out fold
1,Ingredient Jaccard,5,41802,438,1786,0.03263958662264964,0.12029152106214813,0.09516002959981504,0.9771689497716894,True,True,all unseen products in held-out fold
1,Ingredient Jaccard,10,41802,438,1786,0.02103487871393713,0.14941950967222614,0.10522774844779724,0.9817351598173516,True,True,all unseen products in held-out fold
1,Ingredient Jaccard,20,41802,438,1786,0.014256494904550023,0.18808374154376545,0.11638183886718849,0.9840182648401826,True,True,all unseen products in held-out fold
1,BM25 Ingredient,5,41802,438,1786,0.044835175350461706,0.15175361670974194,0.12214788369973702,0.9794520547945206,True,True,all unseen products in held-out fold
1,BM25 Ingredient,10,41802,438,1786,0.03045787282905124,0.19483633302917033,0.13730246711887337,0.9885844748858448,True,True,all unseen products in held-out fold
1,BM25 Ingredient,20,41802,438,1786,0.020005023683077366,0.2436275361354652,0.15118818961991332,0.9885844748858448,True,True,all unseen products in held-out fold
1,TF-IDF Ingredient,5,41802,438,1786,0.047887660877469984,0.15869118630854043,0.1273720847571697,0.9863013698630136,True,True,all unseen products in held-out fold
1,TF-IDF Ingredient,10,41802,438,1786,0.031228170900913833,0.19726575743275307,0.14045559664866905,0.9863013698630136,True,True,all unseen products in held-out fold
1,TF-IDF Ingredient,20,41802,438,1786,0.01987823549112483,0.24372173466634894,0.153365117846131,0.9863013698630136,True,True,all unseen products in held-out fold
2,Random,5,43015,442,1782,0.003817273044286877,0.010974518007905814,0.007628925546310886,1.0,True,True,all unseen products in held-out fold
2,Random,10,43015,442,1782,0.003824247355573637,0.022151615208804383,0.011558220165048358,1.0,True,True,all unseen products in held-out fold
2,Random,20,43015,442,1782,0.003882366616296641,0.04432340869281741,0.017884694881034523,1.0,True,True,all unseen products in held-out fold
2,Popularity,5,43015,442,1782,0.0021666860397535743,0.005784166846733581,0.004951299794376028,0.011312217194570135,True,True,all unseen products in held-out fold
2,Popularity,10,43015,442,1782,0.0036894106706962687,0.016580512829282516,0.009106822964802518,0.02262443438914027,True,True,all unseen products in held-out fold
2,Popularity,20,43015,442,1782,0.002690921771475067,0.024950428563896437,0.011461847874485053,0.04524886877828054,True,True,all unseen products in held-out fold
2,Binary Ingredient Cosine,5,43015,442,1782,0.03906079274671626,0.13532573102528178,0.11627803852787987,0.9819004524886877,True,True,all unseen products in held-out fold
2,Binary Ingredient Cosine,10,43015,442,1782,0.024679762873416246,0.16425578756256837,0.12694224164223372,0.9819004524886877,True,True,all unseen products in held-out fold
2,Binary Ingredient Cosine,20,43015,442,1782,0.01564802975706149,0.1995179531591824,0.13726122583055855,0.9909502262443439,True,True,all unseen products in held-out fold
2,Ingredient Jaccard,5,43015,442,1782,0.03041264675113332,0.10907027881395577,0.09529099794590024,0.9728506787330317,True,True,all unseen products in held-out fold
2,Ingredient Jaccard,10,43015,442,1782,0.019063117517145182,0.13306339658773148,0.10378366562839288,0.9773755656108597,True,True,all unseen products in held-out fold
2,Ingredient Jaccard,20,43015,442,1782,0.0122213181448332,0.16297930500506172,0.11243343290337957,0.9886877828054299,True,True,all unseen products in held-out fold
2,BM25 Ingredient,5,43015,442,1782,0.04919214227595025,0.16142006265618375,0.13851435464534395,0.9932126696832579,True,True,all unseen products in held-out fold
2,BM25 Ingredient,10,43015,442,1782,0.02991282110891549,0.19205539300723895,0.14893532421796524,0.9932126696832579,True,True,all unseen products in held-out fold
2,BM25 Ingredient,20,43015,442,1782,0.018232012088806232,0.22930864641020737,0.15956941648616565,0.9932126696832579,True,True,all unseen products in held-out fold
2,TF-IDF Ingredient,5,43015,442,1782,0.049159595489945376,0.16176862322241806,0.13792351291742447,0.995475113122172,True,True,all unseen products in held-out fold
2,TF-IDF Ingredient,10,43015,442,1782,0.030507962338719056,0.1950725585299258,0.1495206652827059,0.995475113122172,True,True,all unseen products in held-out fold
2,TF-IDF Ingredient,20,43015,442,1782,0.018716726723236085,0.23265638921784776,0.16040968740953523,0.995475113122172,True,True,all unseen products in held-out fold
3,Random,5,46628,444,1780,0.004280689714334735,0.010988363710988954,0.007727037862704672,1.0,True,True,all unseen products in held-out fold
3,Random,10,46628,444,1780,0.004529467272883246,0.023497166645732533,0.012256958290538687,1.0,True,True,all unseen products in held-out fold
3,Random,20,46628,444,1780,0.0044908638586257195,0.046082788690394644,0.01886967573175641,1.0,True,True,all unseen products in held-out fold
3,Popularity,5,46628,444,1780,0.005648966286351549,0.01151250796835527,0.00939870812128456,0.01126126126126126,True,True,all unseen products in held-out fold
3,Popularity,10,46628,444,1780,0.0034485716736724716,0.014154081627002843,0.009911165662537635,0.02252252252252252,True,True,all unseen products in held-out fold
3,Popularity,20,46628,444,1780,0.0022432872951874414,0.017987163905925748,0.0110441132488871,0.04504504504504504,True,True,all unseen products in held-out fold
3,Binary Ingredient Cosine,5,46628,444,1780,0.033456292356523976,0.11110518923549696,0.08716064942501209,0.9774774774774775,True,True,all unseen products in held-out fold
3,Binary Ingredient Cosine,10,46628,444,1780,0.021999656858539936,0.1415712832023691,0.0981002051751961,0.9819819819819819,True,True,all unseen products in held-out fold
3,Binary Ingredient Cosine,20,46628,444,1780,0.014344385347859655,0.17814008204181625,0.1087190915154696,0.9819819819819819,True,True,all unseen products in held-out fold
3,Ingredient Jaccard,5,46628,444,1780,0.02668782705670413,0.09246846097483433,0.06939215064842708,0.9752252252252253,True,True,all unseen products in held-out fold
3,Ingredient Jaccard,10,46628,444,1780,0.01788195933773698,0.12049827863715011,0.07938786608656292,0.9819819819819819,True,True,all unseen products in held-out fold
3,Ingredient Jaccard,20,46628,444,1780,0.011597109033198936,0.1510557662839694,0.08813175709696906,0.9842342342342343,True,True,all unseen products in held-out fold
3,BM25 Ingredient,5,46628,444,1780,0.039684309856738445,0.12817056619733366,0.10000749462058581,0.9819819819819819,True,True,all unseen products in held-out fold
3,BM25 Ingredient,10,46628,444,1780,0.026226730719739213,0.16306773715366477,0.11260737801232688,0.9864864864864865,True,True,all unseen products in held-out fold
3,BM25 Ingredient,20,46628,444,1780,0.016983357639186757,0.20129400428290747,0.12386297775822544,0.9887387387387387,True,True,all unseen products in held-out fold
3,TF-IDF Ingredient,5,46628,444,1780,0.039619970832975894,0.12926763747697867,0.09926975295175854,0.9887387387387387,True,True,all unseen products in held-out fold
3,TF-IDF Ingredient,10,46628,444,1780,0.02571416316376426,0.1613799217001607,0.1108884714749462,0.9887387387387387,True,True,all unseen products in held-out fold
3,TF-IDF Ingredient,20,46628,444,1780,0.016552286179977695,0.19910572984161648,0.12197005584116476,0.9887387387387387,True,True,all unseen products in held-out fold
4,Random,5,45654,447,1777,0.004442108029964516,0.011245749202699273,0.007856483110640943,1.0,True,True,all unseen products in held-out fold
4,Random,10,45654,447,1777,0.004510010075787445,0.0229861815143662,0.012066889814215746,1.0,True,True,all unseen products in held-out fold
4,Random,20,45654,447,1777,0.004462916721426381,0.04515453554825419,0.01851750147184777,1.0,True,True,all unseen products in held-out fold
4,Popularity,5,45654,447,1777,0.004516581241512244,0.010224277465786287,0.006125569854879929,0.011185682326621925,True,True,all unseen products in held-out fold
4,Popularity,10,45654,447,1777,0.00391641477198055,0.019223884410652592,0.009149272501376739,0.02237136465324385,True,True,all unseen products in held-out fold
4,Popularity,20,45654,447,1777,0.0042690673325447934,0.04158370377770158,0.015715968773196174,0.0447427293064877,True,True,all unseen products in held-out fold
4,Binary Ingredient Cosine,5,45654,447,1777,0.04987952862837867,0.15733550632346693,0.12607786481786956,0.9776286353467561,True,True,all unseen products in held-out fold
4,Binary Ingredient Cosine,10,45654,447,1777,0.03083409996933456,0.1892882530060934,0.13737873999759495,0.9843400447427293,True,True,all unseen products in held-out fold
4,Binary Ingredient Cosine,20,45654,447,1777,0.01911880667630438,0.2286255244051464,0.14871542506643176,0.9888143176733781,True,True,all unseen products in held-out fold
4,Ingredient Jaccard,5,45654,447,1777,0.04402681035615718,0.1404268026446045,0.1208032960530493,0.9731543624161074,True,True,all unseen products in held-out fold
4,Ingredient Jaccard,10,45654,447,1777,0.02728128970079292,0.1669365895727341,0.1302712704323086,0.9865771812080537,True,True,all unseen products in held-out fold
4,Ingredient Jaccard,20,45654,447,1777,0.017074078941604242,0.20422820709851144,0.14093528786968257,0.9888143176733781,True,True,all unseen products in held-out fold
4,BM25 Ingredient,5,45654,447,1777,0.06341174924431595,0.18127128710434898,0.14890319644158587,0.9731543624161074,True,True,all unseen products in held-out fold
4,BM25 Ingredient,10,45654,447,1777,0.03925176326280282,0.22101428939396445,0.16185118611433122,0.9821029082774049,True,True,all unseen products in held-out fold
4,BM25 Ingredient,20,45654,447,1777,0.023762430455162745,0.2589907443811624,0.1727730298962367,0.9865771812080537,True,True,all unseen products in held-out fold
4,TF-IDF Ingredient,5,45654,447,1777,0.061729530818767246,0.18193896736382834,0.1497398597888636,0.9888143176733781,True,True,all unseen products in held-out fold
4,TF-IDF Ingredient,10,45654,447,1777,0.03787181846059491,0.21813187628583686,0.16199689216506294,0.9888143176733781,True,True,all unseen products in held-out fold
4,TF-IDF Ingredient,20,45654,447,1777,0.023089981162658257,0.2584279532649298,0.17358491195109282,0.9888143176733781,True,True,all unseen products in held-out fold
