model_key,k,users_retained,users_removed_overlap,precision,recall_hit_rate,ndcg,mrr,catalog_coverage,test_formulation_absent_from_user_train_profile
binary_ingredient_cosine,5,75211,5678,0.008059991224687878,0.04029995612343939,0.024741252224695132,0.019649164794156883,0.9294064748201439,True
binary_ingredient_cosine,10,75211,5678,0.005455319035779341,0.05455319035779341,0.029293721202396178,0.021494966647271498,0.9680755395683454,True
binary_ingredient_cosine,20,75211,5678,0.0038079536238050287,0.07615907247610057,0.034758363988912785,0.022993603165662346,0.9842625899280576,True
bm25_ingredient,5,75211,5678,0.008530667056680537,0.04265333528340269,0.02696806187980692,0.02186205032065345,0.9303057553956835,True
bm25_ingredient,10,75211,5678,0.006245097126750076,0.062450971267500766,0.03326435272400831,0.024401746578356382,0.9761690647482014,True
bm25_ingredient,20,75211,5678,0.004275970270306205,0.0855194054061241,0.0390679379684754,0.02597991077761695,0.9892086330935251,True
feature_aware_bpr,5,75211,5678,0.005661405911369348,0.028307029556846736,0.0166647713141059,0.012858048246488766,0.2733812949640288,True
feature_aware_bpr,10,75211,5678,0.004728031803858479,0.04728031803858478,0.022766712595373557,0.015356938669685473,0.385341726618705,True
feature_aware_bpr,20,75211,5678,0.003746792357500898,0.07493584715001796,0.02971998605104562,0.01724548836587875,0.5584532374100719,True
ingredient_jaccard,5,75211,5678,0.00771163792530348,0.0385581896265174,0.02411265427089396,0.019382359849844655,0.9226618705035972,True
ingredient_jaccard,10,75211,5678,0.00527316482961269,0.0527316482961269,0.028713223923066057,0.02128983475694728,0.9680755395683454,True
ingredient_jaccard,20,75211,5678,0.003435667654997274,0.06871335309994549,0.03275397936347566,0.022398569610931774,0.9824640287769785,True
item_knn,5,75211,5678,0.022517982741886163,0.1125899137094308,0.07326549431093335,0.06009825690391034,0.8318345323741008,True
item_knn,10,75211,5678,0.015093536849662947,0.15093536849662947,0.08538580462138298,0.064941493698258,0.8763489208633094,True
item_knn,20,75211,5678,0.009690071930967544,0.1938014386193509,0.09616723936255195,0.06787169517110234,0.8866906474820144,True
lightgcn,5,75211,5678,0.000901463881613062,0.00450731940806531,0.002661753632498249,0.002059095965572412,0.6623201438848921,True
lightgcn,10,75211,5678,0.0008708832484609965,0.008708832484609965,0.004003301180941146,0.002602799151508782,0.7769784172661871,True
lightgcn,20,75211,5678,0.0007990852401909296,0.01598170480381859,0.005821411816028406,0.0030910531938383285,0.8929856115107914,True
ncf,5,75211,5678,0.0046083684567417,0.0230418422837085,0.014846388468268676,0.012294744119876083,0.005845323741007194,True
ncf,10,75211,5678,0.0029729693794790656,0.029729693794790655,0.017045700195455624,0.01322313225459042,0.008992805755395683,True
ncf,20,75211,5678,0.001864089029530255,0.0372817805906051,0.01903711088712383,0.013812333325620155,0.015287769784172662,True
popularity,5,75211,5678,0.0024491098376567258,0.012245549188283628,0.010254824153825575,0.009644865777612319,0.00539568345323741,True
popularity,10,75211,5678,0.0032960604166943665,0.032960604166943665,0.016886116119564972,0.012337781770776943,0.008992805755395683,True
popularity,20,75211,5678,0.0017763359083112842,0.035526718166225685,0.017520919559544327,0.012504362609125668,0.015737410071942445,True
random,5,75211,5678,0.00040685538019704563,0.002034276900985228,0.00118974114900363,0.0009160894018162238,1.0,True
random,10,75211,5678,0.0004095145656885296,0.004095145656885296,0.0018433242266246003,0.001178383227883966,1.0,True
random,20,75211,5678,0.0004161625294172395,0.00832325058834479,0.002897135916011591,0.0014596019697482856,1.0,True
svd,5,75211,5678,0.015877996569650714,0.07938998284825358,0.050707314608182626,0.04124795575115343,0.1843525179856115,True
svd,10,75211,5678,0.01101035752748933,0.1101035752748933,0.06062282550541688,0.045330718256553576,0.2383093525179856,True
svd,20,75211,5678,0.007572695483373443,0.15145390966746886,0.0710007857876917,0.048139162418675656,0.2976618705035971,True
tf_idf_ingredient,5,75211,5678,0.008506734387257183,0.04253367193628592,0.026298250171498488,0.021019974915016865,0.960431654676259,True
tf_idf_ingredient,10,75211,5678,0.005927324460517743,0.05927324460517743,0.03172086420843734,0.023265567367826343,0.9878597122302158,True
tf_idf_ingredient,20,75211,5678,0.004295914161492335,0.0859182832298467,0.03849356750132314,0.02514258184954111,0.9914568345323741,True
