model,target_item_idx,m,relevant_users,hits,precision,recall,ndcg,target_removed_from_profiles,candidate_users
TF-IDF Reverse,0,100,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,0,500,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,0,1000,5,0,0.0,0.0,0.0,True,80889
User Activity,0,100,5,0,0.0,0.0,0.0,True,80889
User Activity,0,500,5,0,0.0,0.0,0.0,True,80889
User Activity,0,1000,5,0,0.0,0.0,0.0,True,80889
Random Reverse,0,100,5,0,0.0,0.0,0.0,True,80889
Random Reverse,0,500,5,0,0.0,0.0,0.0,True,80889
Random Reverse,0,1000,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,1,100,47,1,0.01,0.02127659574468085,0.013238203032307903,True,80889
TF-IDF Reverse,1,500,47,3,0.006,0.06382978723404255,0.03463567191894065,True,80889
TF-IDF Reverse,1,1000,47,4,0.004,0.0851063829787234,0.04286101621764803,True,80889
User Activity,1,100,47,0,0.0,0.0,0.0,True,80889
User Activity,1,500,47,0,0.0,0.0,0.0,True,80889
User Activity,1,1000,47,0,0.0,0.0,0.0,True,80889
Random Reverse,1,100,47,0,0.0,0.0,0.0,True,80889
Random Reverse,1,500,47,0,0.0,0.0,0.0,True,80889
Random Reverse,1,1000,47,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,2,100,80,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,2,500,80,1,0.002,0.0125,0.00712249949288797,True,80889
TF-IDF Reverse,2,1000,80,4,0.004,0.05,0.024618422667318483,True,80889
User Activity,2,100,80,0,0.0,0.0,0.0,True,80889
User Activity,2,500,80,0,0.0,0.0,0.0,True,80889
User Activity,2,1000,80,0,0.0,0.0,0.0,True,80889
Random Reverse,2,100,80,1,0.01,0.0125,0.008579433449076648,True,80889
Random Reverse,2,500,80,1,0.002,0.0125,0.008579433449076648,True,80889
Random Reverse,2,1000,80,1,0.001,0.0125,0.008579433449076648,True,80889
TF-IDF Reverse,4,100,8,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,4,500,8,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,4,1000,8,0,0.0,0.0,0.0,True,80889
User Activity,4,100,8,0,0.0,0.0,0.0,True,80889
User Activity,4,500,8,0,0.0,0.0,0.0,True,80889
User Activity,4,1000,8,0,0.0,0.0,0.0,True,80889
Random Reverse,4,100,8,0,0.0,0.0,0.0,True,80889
Random Reverse,4,500,8,1,0.002,0.125,0.028847785744295733,True,80889
Random Reverse,4,1000,8,1,0.001,0.125,0.028847785744295733,True,80889
TF-IDF Reverse,5,100,27,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,5,500,27,1,0.002,0.037037037037037035,0.01367808392557134,True,80889
TF-IDF Reverse,5,1000,27,2,0.002,0.07407407407407407,0.025971670322404942,True,80889
User Activity,5,100,27,0,0.0,0.0,0.0,True,80889
User Activity,5,500,27,0,0.0,0.0,0.0,True,80889
User Activity,5,1000,27,0,0.0,0.0,0.0,True,80889
Random Reverse,5,100,27,0,0.0,0.0,0.0,True,80889
Random Reverse,5,500,27,0,0.0,0.0,0.0,True,80889
Random Reverse,5,1000,27,1,0.001,0.037037037037037035,0.012983155782600704,True,80889
