reference,comparison,metric,n_users,reference_mean,comparison_mean,mean_difference,wilcoxon_statistic,p_value,rank_biserial_effect,p_holm
TF-IDF Ingredient,Random,NDCG@10,80889,0.08616954408870384,0.0018692781103446553,0.0843002659783592,714443.5,0.0,0.9734891286534438,0.0
TF-IDF Ingredient,Popularity,NDCG@10,80889,0.08616954408870384,0.01590612645373159,0.07026341763497225,9843992.0,0.0,0.7486577857820619,0.0
TF-IDF Ingredient,Binary Ingredient Cosine,NDCG@10,80889,0.08616954408870384,0.08468203764859453,0.0014875064401093229,5345241.5,0.00011287758805619876,0.06442053140963315,0.00011287758805619876
TF-IDF Ingredient,Ingredient Jaccard,NDCG@10,80889,0.08616954408870384,0.0806656139914365,0.005503930097267336,8617925.5,2.5630697333810464e-27,0.1561657614969737,5.126139466762093e-27
TF-IDF Ingredient,BM25 Ingredient,NDCG@10,80889,0.08616954408870384,0.09070963436434976,-0.004540090275645907,1886947.5,2.295466160445743e-115,-0.43392078810498586,6.8863984813372295e-115
TF-IDF Ingredient,Item-kNN,NDCG@10,80889,0.08616954408870384,0.1370636439407911,-0.05089409985208726,16655963.0,0.0,-0.6595232624154446,0.0
TF-IDF Ingredient,SVD,NDCG@10,80889,0.08616954408870384,0.10607200245000688,-0.019902458361303013,32247837.0,3.186444987525785e-125,-0.2404230710363006,1.274577995010314e-124
TF-IDF Ingredient,Hybrid LightFM,NDCG@10,80889,0.08616954408870384,0.06072855736135225,0.025440986727351587,15822688.5,4.263589661494009e-285,0.4091169489175598,2.1317948307470046e-284
TF-IDF Ingredient,NCF,NDCG@10,80889,0.08616954408870384,0.016070044957994314,0.07009949913070954,10450179.5,0.0,0.7223293273051933,0.0
TF-IDF Ingredient,LightGCN,NDCG@10,80889,0.08616954408870384,0.004096599841670598,0.08207294424703325,1709817.5,0.0,0.9402687494486933,0.0
