model,k,users,precision,recall_hit_rate,ndcg,mrr,catalog_coverage,cutoff_index,cutoff,validation_end,train_interactions,train_products,candidate_policy
Random,10,13862,0.0004689078055114702,0.004689078055114702,0.0019105942687094465,0.0010959503312699098,1.0,1,2021-04-17,2022-03-27,245050,1364,full catalog minus user training items
Popularity,10,13862,0.0014355792814889625,0.014355792814889627,0.0081841875133937,0.006334091372325393,0.008093525179856115,1,2021-04-17,2022-03-27,245050,1364,full catalog minus user training items
TF-IDF Ingredient,10,13862,0.0016375703361708267,0.016375703361708266,0.00688145002542472,0.004075232507276945,0.9487410071942446,1,2021-04-17,2022-03-27,245050,1364,full catalog minus user training items
Item-kNN,10,13862,0.0012408021930457368,0.012408021930457366,0.005837622800923901,0.0038906179506381497,0.6047661870503597,1,2021-04-17,2022-03-27,245050,1364,full catalog minus user training items
Random,10,13741,0.00046575940615675715,0.0046575940615675715,0.002269229481419155,0.001569021223704289,1.0,2,2021-06-25,2022-05-02,267300,1417,full catalog minus user training items
Popularity,10,13741,0.0014627756349610654,0.014627756349610655,0.008132891354921661,0.006172582804560099,0.008093525179856115,2,2021-06-25,2022-05-02,267300,1417,full catalog minus user training items
TF-IDF Ingredient,10,13741,0.0016519903937122482,0.01651990393712248,0.0068551811229734805,0.0039890467988859665,0.9469424460431655,2,2021-06-25,2022-05-02,267300,1417,full catalog minus user training items
Item-kNN,10,13741,0.0012371734226038862,0.012371734226038862,0.00610354702178474,0.004238329735018477,0.6267985611510791,2,2021-06-25,2022-05-02,267300,1417,full catalog minus user training items
Random,10,13462,0.0005719803892437974,0.005719803892437973,0.0026645610482603083,0.0017546155787130382,1.0,3,2021-09-18,2022-06-18,289382,1522,full catalog minus user training items
Popularity,10,13462,0.0015153766156588916,0.015153766156588916,0.008722885984641458,0.006775627103215871,0.009442446043165468,3,2021-09-18,2022-06-18,289382,1522,full catalog minus user training items
TF-IDF Ingredient,10,13462,0.002005645520725004,0.020056455207250037,0.008023291795763747,0.00445133037615581,0.9482913669064749,3,2021-09-18,2022-06-18,289382,1522,full catalog minus user training items
Item-kNN,10,13462,0.0012033873124350023,0.012033873124350022,0.005874368843872323,0.004051881486512299,0.6672661870503597,3,2021-09-18,2022-06-18,289382,1522,full catalog minus user training items
Random,10,12024,0.0004241516966067864,0.0042415169660678645,0.0017699718210157918,0.0010467490944037852,1.0,4,2021-12-22,2022-07-29,311965,1589,full catalog minus user training items
Popularity,10,12024,0.0015053226879574186,0.015053226879574185,0.008799797798278938,0.006907382325296497,0.009442446043165468,4,2021-12-22,2022-07-29,311965,1589,full catalog minus user training items
TF-IDF Ingredient,10,12024,0.0018712574850299401,0.0187125748502994,0.008137899669228461,0.004996455501695023,0.9505395683453237,4,2021-12-22,2022-07-29,311965,1589,full catalog minus user training items
Item-kNN,10,12024,0.0011726546906187627,0.011726546906187624,0.005409800769849338,0.0035540691104563363,0.6848021582733813,4,2021-12-22,2022-07-29,311965,1589,full catalog minus user training items
Random,10,10886,0.0004409333088370385,0.004409333088370384,0.0019311620918420283,0.001205713469171121,1.0,5,2022-02-21,2022-08-28,333962,1653,full catalog minus user training items
Popularity,10,10886,0.0015065221385265478,0.01506522138526548,0.008737114984378224,0.006825061459454258,0.009442446043165468,5,2022-02-21,2022-08-28,333962,1653,full catalog minus user training items
TF-IDF Ingredient,10,10886,0.002002572110968216,0.02002572110968216,0.009292789082573872,0.006076429898311214,0.9451438848920863,5,2022-02-21,2022-08-28,333962,1653,full catalog minus user training items
Item-kNN,10,10886,0.002030130442770531,0.020301304427705308,0.009954522633610763,0.006882401745069391,0.7032374100719424,5,2022-02-21,2022-08-28,333962,1653,full catalog minus user training items
