model,k,users,precision,recall_hit_rate,ndcg,mrr,catalog_coverage,precision_ci_low,precision_ci_high,recall_hit_rate_ci_low,recall_hit_rate_ci_high,ndcg_ci_low,ndcg_ci_high,mrr_ci_low,mrr_ci_high
Random,5,80889,0.0004228016170307459,0.0021140080851537292,0.0012270849617676519,0.000939559148957213,1.0,0.0003657481239723572,0.00048708724301202883,0.001828740619861786,0.002435436215060144,0.001055331308334726,0.0014324658287999772,0.0007975641516975939,0.001109297926788562
Random,10,80889,0.00041414778276403465,0.004141477827640347,0.0018692781103446553,0.0011968144863223303,1.0,0.0003757927530319327,0.0004563043182632992,0.0037579275303193265,0.004563043182632991,0.0016806001957045825,0.0020837678554057153,0.001042366847219794,0.001362333784078397
Random,20,80889,0.0004190928309164411,0.00838185661832882,0.0029249009332502234,0.001477954659953923,1.0,0.0003875526956693741,0.0004457497311130068,0.007751053913387482,0.008914994622260133,0.002712458131298201,0.0031787872418052817,0.0013371474420028273,0.0016705298303010278
Popularity,5,80889,0.002292029818640359,0.011460149093201795,0.009563682284077963,0.008982679968846196,0.00539568345323741,0.0021559791813472785,0.002450642238128794,0.010779895906736392,0.01225321119064397,0.008957015372402873,0.010240366203661757,0.008384700021016454,0.00964457466404579
Popularity,10,80889,0.003122797908244632,0.031227979082446317,0.01590612645373159,0.011567095571101062,0.008992805755395683,0.003021208075263633,0.003225469470508969,0.03021208075263633,0.03225469470508969,0.015282972390599487,0.016684114696892155,0.011002710676221598,0.01227025002124212
Popularity,20,80889,0.00168069824079912,0.033613964815982396,0.01649636989257108,0.0117219832744111,0.015737410071942445,0.0016126883754280555,0.0017444430021387337,0.03225376750856111,0.034888860042774666,0.015694211839118392,0.017175177582820174,0.010970406362979652,0.012352549713143634
Binary Ingredient Cosine,5,80889,0.021009037075498525,0.10504518537749262,0.08010179720774514,0.07174193442041975,0.9294064748201439,0.020550754737974262,0.02143196231873308,0.1027537736898713,0.10715981159366539,0.07861576439438084,0.08184743972048059,0.07046869269410345,0.07341086241639778
Binary Ingredient Cosine,10,80889,0.01193610997787091,0.1193610997787091,0.08468203764859453,0.07360366655697294,0.9680755395683454,0.011740471510341332,0.012188431059847446,0.11740471510341333,0.12188431059847445,0.08312880290608012,0.08649656120152492,0.07213577095753597,0.07524343189187141
Binary Ingredient Cosine,20,80889,0.0069910618254645255,0.13982123650929051,0.08985989175852943,0.07502523862581373,0.9842625899280576,0.006880200027197765,0.007099451099655083,0.1376040005439553,0.14198902199310168,0.08829195324281973,0.09159683172634002,0.07361177777567397,0.07660709184417586
Ingredient Jaccard,5,80889,0.019399423901890245,0.09699711950945122,0.07557108162000165,0.06847490594106327,0.9235611510791367,0.01902094227892544,0.01980844119719616,0.0951047113946272,0.09904220598598079,0.07401278909250884,0.07711925336450057,0.06700558790441223,0.0699272614323332
